uf;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
35 São Paulo;17816;3;0;0;0;9;6;3;25;1
41 Paraná;1071;0;0;0;0;0;0;0;0;0
33 Rio de Janeiro;463;19;0;0;0;0;4;0;3;0
15 Pará;405;54;0;0;0;1;0;0;0;3
26 Pernambuco;344;4;0;0;0;28;195;2;3;1
42 Santa Catarina;297;0;0;0;0;0;1;1;0;0
31 Minas Gerais;143;0;0;0;0;4;4;2;0;0
43 Rio Grande do Sul;100;45;0;0;0;0;0;0;7;8
29 Bahia;80;2;0;0;0;0;1;0;1;0
25 Paraíba;66;0;0;0;0;0;10;0;0;58
27 Alagoas;35;0;0;0;0;0;0;0;0;0
23 Ceará;19;0;0;0;0;240;5;3;0;0
52 Goiás;12;0;0;0;0;2;2;0;0;0
53 Distrito Federal;11;1;0;0;0;0;1;1;1;0
24 Rio Grande do Norte;9;0;0;0;0;2;1;1;0;0
21 Maranhão;8;0;0;0;0;1;0;0;1;0
28 Sergipe;6;4;0;0;0;1;2;0;0;0
13 Amazonas;4;9779;0;0;0;0;0;0;0;0
32 Espírito Santo;4;0;0;0;0;2;6;0;0;0
22 Piauí;3;0;0;0;0;0;0;0;1;0
50 Mato Grosso do Sul;2;0;0;0;0;0;1;0;1;0
16 Amapá;2;0;0;0;0;0;0;0;0;0
14 Roraima;1;349;0;0;0;11;0;0;0;0
11 Rondônia;0;2;0;0;0;0;0;0;0;0
51 Mato Grosso;0;0;0;0;0;3;1;0;0;0
12 Acre;0;0;0;0;0;0;0;0;0;0
17 Tocantins;0;0;0;0;0;0;0;0;0;0
